resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,117,125,2.0125740440000002e6,1315.026
ATCUtilitySolar,500,0.2,1000,375,500,17727.215,12.33
CBPC-NIPCOUtilitySolar,500,0.2,1000,375,390,14972.153,30.968
CONSUtilitySolar,500,0.2,1000,375,500,46187.92999999999,36.593
DECOUtilitySolar,500,0.2,1000,0,500,1059.402,1.446
EES-ARKUtilitySolar,500,0.2,1000,437,468,12517.167000000001,16.709
EES-TXUtilitySolar,500,0.2,1000,171,179,335170.90199999994,438.259
IA-EUtilitySolar,500,0.2,1000,437,500,16976.935,17.427999999999997
IL-CUtilitySolar,500,0.2,1000,0,500,492.278,0.552
IN-CUtilitySolar,500,0.2,1000,0,500,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,65,69,2.2897004830000005e6,1827.363
LA-NUtilitySolar,500,0.2,1000,265,281,84530.71100000001,91.38999999999999
MECUtilitySolar,500,0.2,1000,359,375,520566.49,224.36599999999999
MISO-MOUtilitySolar,500,0.2,1000,218,234,474130.16900000005,357.488
MISO-MSUtilitySolar,500,0.2,1000,148,156,512752.469,598.1650000000002
MN-CUtilitySolar,500,0.2,1000,437,500,4136.538,7.785000000000001
MN-NEUtilitySolar,500,0.2,1000,375,500,481.363,2.0700000000000003
MN-SEUtilitySolar,500,0.2,1000,437,500,86622.609,29.315999999999995
NIPSUtilitySolar,500,0.2,1000,0,500,0.0,0.0
SIPCUtilitySolar,500,0.2,1000,452,468,0.0,0.0
UPPCUtilitySolar,500,0.2,1000,437,500,909.271,9.072
