resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,1000,194,202,1.1254001819999998e6,799.8900000000003
ATCUtilityWind,500,0.2,1000,375,500,9399.894000000002,6.578000000000002
CBPC-NIPCOUtilityWind,500,0.2,1000,156,163,55626.212999999996,133.49199999999996
CONSUtilityWind,500,0.2,1000,0,500,4156.621999999999,4.903000000000003
DECOUtilityWind,500,0.2,1000,0,500,82.02500000000005,0.09400000000000003
EES-ARKUtilityWind,500,0.2,1000,437,500,323.3329999999999,0.7109999999999999
EES-TXUtilityWind,500,0.2,1000,484,500,33909.852999999996,78.66599999999995
IA-EUtilityWind,500,0.2,1000,406,421,33811.10300000002,48.98
IL-CUtilityWind,500,0.2,1000,250,500,242.86600000000013,0.318
IN-CUtilityWind,500,0.2,1000,0,500,0.0,0.0
IN-SUtilityWind,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilityWind,500,0.2,1000,156,163,628435.336,746.4340000000004
LA-NUtilityWind,500,0.2,1000,437,500,3316.8159999999993,5.826000000000002
MECUtilityWind,500,0.2,1000,156,163,1.2652777830000003e6,680.5649999999999
MISO-MOUtilityWind,500,0.2,1000,327,343,260142.08800000005,195.02399999999997
MISO-MSUtilityWind,500,0.2,1000,421,437,76642.90899999999,135.74400000000003
MN-CUtilityWind,500,0.2,1000,484,500,6770.490999999998,13.726000000000008
MN-NEUtilityWind,500,0.2,1000,468,500,446.69100000000003,2.2290000000000014
MN-SEUtilityWind,500,0.2,1000,468,484,168686.212,95.76
NIPSUtilityWind,500,0.2,1000,0,500,0.0,0.0
SIPCUtilityWind,500,0.2,1000,484,500,0.0,0.0
UPPCUtilityWind,500,0.2,1000,484,500,651.11,4.312000000000002
