resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,54,62,912745.6209999998,714.54
ATCUtilitySolar,500,0.2,1000,250,500,2196.8729999999996,2.1790000000000003
CBPC-NIPCOUtilitySolar,500,0.2,1000,54,62,30011.269000000004,76.567
CONSUtilitySolar,500,0.2,1000,0,500,2061.6630000000005,2.448
DECOUtilitySolar,500,0.2,1000,0,500,5.468999999999999,0.016
EES-ARKUtilitySolar,500,0.2,1000,375,500,248.659,0.4769999999999999
EES-TXUtilitySolar,500,0.2,1000,218,250,16600.171,43.993000000000016
IA-EUtilitySolar,500,0.2,1000,171,187,15628.888999999997,23.619000000000003
IL-CUtilitySolar,500,0.2,1000,250,500,163.23899999999998,0.207
IN-CUtilitySolar,500,0.2,1000,0,500,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,31,38,445867.579,561.082
LA-NUtilitySolar,500,0.2,1000,437,500,1143.6889999999999,2.1839999999999997
MECUtilitySolar,500,0.2,1000,62,69,921453.5370000001,503.92599999999993
MISO-MOUtilitySolar,500,0.2,1000,109,125,151062.57899999997,136.092
MISO-MSUtilitySolar,500,0.2,1000,125,156,70429.39399999999,122.36200000000001
MN-CUtilitySolar,500,0.2,1000,250,281,2657.44,7.6469999999999985
MN-NEUtilitySolar,500,0.2,1000,343,375,162.25,1.052
MN-SEUtilitySolar,500,0.2,1000,218,250,87057.611,43.809000000000005
NIPSUtilitySolar,500,0.2,1000,0,500,0.0,0.0
SIPCUtilitySolar,500,0.2,1000,312,327,0.0,0.0
UPPCUtilitySolar,500,0.2,1000,281,312,233.473,1.673
