resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,69,71,1.6105701845999997e7,8630.493
ATCUtilitySolar,500,0.2,1000,250,500,58728.20700000001,46.269999999999996
CBPC-NIPCOUtilitySolar,500,0.2,1000,132,136,1.0572177129999998e6,2844.8100000000004
CONSUtilitySolar,500,0.2,1000,375,390,1.364777869e6,846.1400000000001
DECOUtilitySolar,500,0.2,1000,0,500,1579.883,1.7750000000000001
EES-ARKUtilitySolar,500,0.2,1000,0,500,1651.48,2.286
EES-TXUtilitySolar,500,0.2,1000,210,218,1.167318095e6,1775.2680000000003
IA-EUtilitySolar,500,0.2,1000,312,327,1.221662538e6,820.544
IL-CUtilitySolar,500,0.2,1000,375,500,58353.203,43.753
IN-CUtilitySolar,500,0.2,1000,0,500,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,85,89,7.619102793000001e6,5847.1849999999995
LA-NUtilitySolar,500,0.2,1000,250,500,25480.204999999998,39.242999999999995
MECUtilitySolar,500,0.2,1000,296,312,1.942558709e6,840.333
MISO-MOUtilitySolar,500,0.2,1000,327,343,2.0257123429999999e6,1317.2930000000001
MISO-MSUtilitySolar,500,0.2,1000,148,152,2.183317799e6,2558.635
MN-CUtilitySolar,500,0.2,1000,484,500,88674.90800000001,139.027
MN-NEUtilitySolar,500,0.2,1000,437,500,3394.5009999999997,10.477999999999998
MN-SEUtilitySolar,500,0.2,1000,437,500,222895.637,105.96900000000001
NIPSUtilitySolar,500,0.2,1000,0,500,84.815,0.30399999999999994
SIPCUtilitySolar,500,0.2,1000,319,321,101.042,2.8670000000000004
UPPCUtilitySolar,500,0.2,1000,60,62,543343.633,8162.115000000001
