resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,117,125,325117.216,454.173
ATCUtilitySolar,500,0.2,1000,250,500,387.852,0.9269999999999999
CBPC-NIPCOUtilitySolar,500,0.2,1000,156,163,10591.86,37.096000000000004
CONSUtilitySolar,500,0.2,1000,0,500,1644.1029999999998,3.343
DECOUtilitySolar,500,0.2,1000,0,500,0.149,0.002
EES-ARKUtilitySolar,500,0.2,1000,468,500,369.96199999999993,0.9469999999999997
EES-TXUtilitySolar,500,0.2,1000,281,296,28483.78099999999,79.56899999999995
IA-EUtilitySolar,500,0.2,1000,437,500,1351.35,4.808
IL-CUtilitySolar,500,0.2,1000,0,500,2.2280000000000006,0.007999999999999997
IN-CUtilitySolar,500,0.2,1000,0,500,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,69,77,399275.8099999999,649.0159999999997
LA-NUtilitySolar,500,0.2,1000,468,500,1488.6960000000004,3.819000000000001
MECUtilitySolar,500,0.2,1000,163,171,354177.69499999995,366.51000000000005
MISO-MOUtilitySolar,500,0.2,1000,312,327,11069.113000000001,23.555999999999997
MISO-MSUtilitySolar,500,0.2,1000,171,187,101702.28299999997,230.344
MN-CUtilitySolar,500,0.2,1000,437,500,513.6140000000003,2.0500000000000007
MN-NEUtilitySolar,500,0.2,1000,437,500,60.368999999999986,0.434
MN-SEUtilitySolar,500,0.2,1000,437,500,15536.614999999998,22.347999999999995
NIPSUtilitySolar,500,0.2,1000,0,500,0.0,0.0
SIPCUtilitySolar,500,0.2,1000,468,500,0.0,0.0
UPPCUtilitySolar,500,0.2,1000,437,500,96.556,1.4420000000000002
