resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,140,148,543819.921,565.1789999999999
ATCUtilitySolar,500,0.2,1000,437,500,2883.39,3.4579999999999997
CBPC-NIPCOUtilitySolar,500,0.2,1000,187,202,13820.561,31.441000000000003
CONSUtilitySolar,500,0.2,1000,0,500,1633.8790000000001,1.759
DECOUtilitySolar,500,0.2,1000,0,500,6.338,0.014999999999999996
EES-ARKUtilitySolar,500,0.2,1000,437,500,730.679,1.3999999999999997
EES-TXUtilitySolar,500,0.2,1000,312,327,26575.154999999995,51.926
IA-EUtilitySolar,500,0.2,1000,468,500,7564.0830000000005,11.691999999999998
IL-CUtilitySolar,500,0.2,1000,375,500,132.514,0.339
IN-CUtilitySolar,500,0.2,1000,0,500,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,93,101,454778.055,471.23999999999995
LA-NUtilitySolar,500,0.2,1000,437,500,2734.249,4.272000000000002
MECUtilitySolar,500,0.2,1000,187,202,401723.3510000001,201.28599999999997
MISO-MOUtilitySolar,500,0.2,1000,312,343,44256.969,60.97799999999999
MISO-MSUtilitySolar,500,0.2,1000,171,187,149548.399,220.65399999999997
MN-CUtilitySolar,500,0.2,1000,468,500,4480.080000000001,8.405999999999999
MN-NEUtilitySolar,500,0.2,1000,468,500,427.84,1.8780000000000001
MN-SEUtilitySolar,500,0.2,1000,468,500,35435.89,22.793999999999997
NIPSUtilitySolar,500,0.2,1000,0,500,0.11200000000000004,0.002
SIPCUtilitySolar,500,0.2,1000,437,468,0.0,0.0
UPPCUtilitySolar,500,0.2,1000,468,500,603.02,5.381000000000001
