resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,31,46,547132.914,565.7110000000001
ATC6hour,500,3000,0.2,1000,0,125,2741.679,3.4720000000000004
CBPC-NIPCO6hour,500,3000,0.2,1000,0,15,14436.113,32.786
CONS6hour,500,3000,0.2,1000,0,500,1890.8720000000003,1.9269999999999998
DECO6hour,500,3000,0.2,1000,0,500,14.800000000000002,0.02500000000000001
EES-ARK6hour,500,3000,0.2,1000,125,250,801.6189999999999,1.3579999999999999
EES-TX6hour,500,3000,0.2,1000,93,125,27620.684999999998,53.6
IA-E6hour,500,3000,0.2,1000,31,62,7939.7919999999995,12.241
IL-C6hour,500,3000,0.2,1000,375,500,182.448,0.3980000000000001
IN-C6hour,500,3000,0.2,1000,0,500,0.0,0.0
IN-S6hour,500,3000,0.2,1000,0,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,1000,31,38,461637.638,476.1719999999999
LA-N6hour,500,3000,0.2,1000,250,312,2779.8850000000007,4.390999999999999
MEC6hour,500,3000,0.2,1000,31,46,406353.552,202.17399999999995
MISO-MO6hour,500,3000,0.2,1000,31,62,44084.14000000001,61.53299999999999
MISO-MS6hour,500,3000,0.2,1000,62,77,149864.77399999995,219.79700000000003
MN-C6hour,500,3000,0.2,1000,93,125,4731.6539999999995,8.703999999999999
MN-NE6hour,500,3000,0.2,1000,62,125,407.784,1.8279999999999996
MN-SE6hour,500,3000,0.2,1000,93,125,36832.064000000006,23.794000000000004
NIPS6hour,500,3000,0.2,1000,0,500,0.7270000000000003,0.004000000000000001
SIPC6hour,500,3000,0.2,1000,250,281,0.0,0.0
UPPC6hour,500,3000,0.2,1000,125,187,609.86,5.537
