resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,1000,103,105,1.0557813616999997e7,8088.027999999999
ATCUtilityWind,500,0.2,1000,0,500,7577.312000000001,12.549999999999999
CBPC-NIPCOUtilityWind,500,0.2,1000,190,194,1.06680369e6,3653.5400000000004
CONSUtilityWind,500,0.2,1000,484,500,549169.33,578.148
DECOUtilityWind,500,0.2,1000,0,500,107.77800000000002,0.27399999999999997
EES-ARKUtilityWind,500,0.2,1000,0,500,1125.084,3.085
EES-TXUtilityWind,500,0.2,1000,413,421,389725.91000000003,1024.8829999999998
IA-EUtilityWind,500,0.2,1000,429,437,1.2637180890000002e6,1596.126
IL-CUtilityWind,500,0.2,1000,250,500,28783.282000000003,49.092000000000006
IN-CUtilityWind,500,0.2,1000,0,500,0.0,0.0
IN-SUtilityWind,500,0.2,1000,0,500,0.0,0.0
LA-GULFUtilityWind,500,0.2,1000,163,167,3.5997903740000003e6,4224.637000000001
LA-NUtilityWind,500,0.2,1000,0,500,4306.142,10.192
MECUtilityWind,500,0.2,1000,359,367,2.4667897890000003e6,1938.405
MISO-MOUtilityWind,500,0.2,1000,484,500,596026.344,595.027
MISO-MSUtilityWind,500,0.2,1000,226,234,1.1295257729999998e6,1974.6649999999997
MN-CUtilityWind,500,0.2,1000,484,500,126246.168,428.155
MN-NEUtilityWind,500,0.2,1000,468,500,6783.859000000001,47.595
MN-SEUtilityWind,500,0.2,1000,468,500,244407.318,291.038
NIPSUtilityWind,500,0.2,1000,0,500,101.43799999999999,0.8089999999999999
SIPCUtilityWind,500,0.2,1000,351,353,129.79599999999996,5.445
UPPCUtilityWind,500,0.2,1000,107,109,356894.63700000005,7595.634999999999
